latin_words,average_sentence_length,sentences_count,average_length,excl_marks,digits_count,words_count,quotes_count,class,
0, 217, 3, 5, False, 9, 94, 0, sport, 
1, 122, 5, 5, False, 2, 85, 0, sport, 
7, 163, 72, 5, False, 98, 1738, 0, sport, 
16, 118, 12, 6, False, 41, 189, 0, auto, 
0, 205, 6, 5, False, 6, 180, 0, sport, 
1, 163, 4, 5, False, 15, 88, 0, sport, 
0, 193, 2, 5, False, 5, 59, 0, sport, 
1, 101, 7, 5, False, 17, 106, 0, sport, 
2, 139, 7, 6, False, 20, 128, 0, sport, 
1, 213, 4, 5, False, 23, 117, 0, sport, 
0, 177, 7, 5, False, 32, 174, 0, economics, 
0, 132, 13, 6, False, 54, 226, 0, economics, 
3, 267, 4, 7, False, 19, 125, 0, hi_tech, 
0, 134, 7, 6, False, 10, 115, 0, culture, 
2, 172, 23, 6, False, 62, 520, 0, politics, 
4, 231, 7, 6, False, 28, 205, 0, politics, 
8, 177, 10, 6, False, 47, 228, 0, economics, 
21, 162, 11, 6, False, 50, 225, 3, hi_tech, 
0, 188, 14, 6, True, 5, 340, 0, culture, 
0, 232, 3, 5, False, 3, 98, 1, society, 
1, 126, 10, 6, False, 16, 153, 2, society, 
0, 162, 7, 6, False, 2, 152, 0, culture, 
2, 204, 3, 7, False, 12, 65, 1, hi_tech, 
5, 153, 9, 5, False, 26, 193, 0, culture, 
0, 235, 5, 6, False, 0, 147, 0, auto, 
14, 252, 5, 7, False, 27, 148, 0, auto, 
0, 159, 9, 5, False, 15, 199, 0, auto, 
13, 175, 7, 5, False, 59, 163, 0, auto, 
11, 163, 6, 6, False, 16, 123, 0, auto, 
0, 189, 6, 6, False, 24, 140, 0, auto, 
11, 157, 9, 6, False, 18, 180, 0, auto, 
12, 175, 10, 5, False, 64, 231, 0, auto, 
12, 187, 7, 6, False, 14, 177, 0, auto, 
0, 205, 7, 6, False, 7, 187, 0, auto, 
20, 324, 5, 6, False, 2, 212, 0, internet, 
8, 165, 8, 6, False, 2, 178, 0, internet, 
14, 175, 12, 6, False, 24, 274, 0, internet, 
19, 189, 9, 6, False, 8, 222, 0, internet, 
0, 124, 13, 5, False, 20, 224, 0, internet, 
1, 114, 11, 6, False, 20, 167, 0, internet, 
39, 131, 12, 6, False, 14, 211, 0, internet, 
67, 204, 11, 5, False, 18, 310, 0, hi_tech, 
2, 192, 8, 6, False, 5, 191, 0, internet, 
6, 321, 7, 6, False, 14, 288, 1, internet, 
12, 233, 7, 6, False, 7, 219, 1, politics, 
4, 231, 7, 6, False, 9, 203, 0, politics, 
